time_s,BIS,Ce_prop,Ce_remi,Cp_prop,Cp_remi,u_prop,u_remi,MAP,CO,HR,SV,TPR,ce_del,ce_bis
2510,0.4261771217566377,19.910437216526965,65.44072767377416,40.65838019348457,81.88720682109907,2.0,4.0,14.798578101032746,0.6587621483762124,31.779846387775663,20.728928023692706,0.022464220413255177,19.910437216526965,19.171604598072843
2515,0.4244559235860237,19.961834266289646,65.53735900080537,40.682601497869435,81.928125752048,2.0,4.0,14.799833608687344,0.6581208096345499,31.764389993965157,20.718824122219402,0.022488019512565776,19.961834266289646,19.223936499629417
2520,0.42274879097293194,20.013163927738628,65.63366311331703,40.70673597687403,81.96894822077404,2.0,4.0,14.80110972561501,0.6574834593391653,31.7489635534873,20.708816469914257,0.022511759825093642,20.013163927738628,19.276202107332338
2525,0.42274879097293194,20.013163927738628,65.63366311331703,40.70673597687403,81.96894822077404,2.0,4.0,14.80110972561501,0.6574834593391653,31.7489635534873,20.708816469914257,0.022511759825093642,20.013163927738628,19.276202107332338
2530,0.4210555662881461,20.06442615358282,65.7296413670127,40.730784301157136,82.009674773433,2.0,4.0,14.802405759126108,0.656850047307547,31.73356695837223,20.69890372453863,0.022535441414371096,20.06442615358282,19.328401344452224
2535,0.41937609411591836,20.115620898301316,65.82529511282553,40.754747135494895,82.05030594943742,2.0,4.0,14.803721032317585,0.656220524271292,31.718200106357234,20.689084565670758,0.022559064346176244,20.115620898301316,19.380534136337577
2540,0.41771022121687906,20.166748118124534,65.92062569690702,40.778625138833135,82.09084228155712,2.0,4.0,14.80505488375146,0.6555948418577241,31.702862900697617,20.679357694326647,0.022582628688473456,20.166748118124534,19.432600410393107
2545,0.41605779649164276,20.217807771015483,66.01563446061637,40.80241896433913,82.13128429601839,2.0,4.0,14.806406667139301,0.6549729525718795,31.68755524998206,20.66972183258758,0.022606134511355083,20.217807771015483,19.484600096058156
2550,0.41605779649164276,20.217807771015483,66.01563446061637,40.80241896433913,82.13128429601839,2.0,4.0,14.806406667139301,0.6549729525718795,31.68755524998206,20.66972183258758,0.022606134511355083,20.217807771015483,19.484600096058156
2555,0.41441867094521,20.26879981665125,66.11032274051047,40.826129259453005,82.17163251260162,2.0,4.0,14.807775751032716,0.6543548097788568,31.672277067952447,20.66017572323415,0.02262958188698436,20.26879981665125,19.536533124785368
2560,0.4127926976519376,20.319724216404627,66.20469186833459,40.84975666593864,82.21188744473737,2.0,4.0,14.809161518519534,0.653740367686519,31.65702827332798,20.65071812938662,0.022652970889539454,20.319724216404627,19.58839943001961
2565,0.4111797317212762,20.37058093332593,66.29874317101357,40.87330181993411,82.25204959960104,2.0,4.0,14.810563366925756,0.6531295813285424,31.641808789633608,20.64134783415159,0.022676301595158696,20.37058093332593,19.640198947176962
2570,0.40957963026413324,20.42136993212497,66.3924779706437,40.89676535200169,82.29211947820605,2.0,4.0,14.811980707523155,0.6525224065478106,31.62661854503258,20.632063640274897,0.02269957408188691,20.42136993212497,19.691931613624035
2575,0.40957963026413324,20.42136993212497,66.3924779706437,40.89676535200169,82.29211947820605,2.0,4.0,14.811980707523155,0.6525224065478106,31.62661854503258,20.632063640274897,0.02269957408188691,20.42136993212497,19.691931613624035
2580,0.4079922523598327,20.472091179153228,66.48589758448519,40.9201478871774,82.33209757549565,2.0,4.0,14.813412965242309,0.6519187999801379,31.611457472163142,20.622864369800528,0.02272278842962288,20.472091179153228,19.743597368657362
2585,0.40641745902378545,20.522744642386137,66.57900332495517,40.94345004502017,82.3719843804333,2.0,4.0,14.81485957839116,0.6513187190383252,31.59632550797922,20.613748863735548,0.022745944720067867,20.522744642386137,19.795196153483104
2590,0.40485511317572787,20.573330291405576,66.67179649962124,40.96667243966048,82.41178037609161,2.0,4.0,14.81631999837884,0.6507221218965348,31.581222593595054,20.60471598172095,0.022769043036675252,20.573330291405576,19.84672791119683
2595,0.40330507960855755,20.623848097382517,66.7642784111957,40.98981567984857,82.45148603973996,2.0,4.0,14.817793689444791,0.6501289674749827,31.5661486741337,20.59576460170825,0.022792083464601178,20.623848097382517,19.898192586763532
2600,0.40330507960855755,20.623848097382517,66.7642784111957,40.98981567984857,82.45148603973996,2.0,4.0,14.817793689444791,0.6501289674749827,31.5661486741337,20.59576460170825,0.022792083464601178,20.623848097382517,19.898192586763532
2605,0.40176722495777994,20.674298033059827,66.8564503575302,41.01288036900236,82.49110184293083,2.0,4.0,14.81928012839299,0.6495392154249385,31.551103698579293,20.586893619641792,0.022815066090656266,20.674298033059827,19.94959012699786
2610,0.40024141767156607,20.72468007273523,66.94831363161096,41.035867105254745,82.53062825158474,2.0,4.0,14.820778804331313,0.6489528261140318,31.53608761963306,20.57810194914669,0.02283799100325831,20.72468007273523,20.00092048054449
2615,0.398727527981265,20.77499419224443,67.03986952155451,41.058776481500615,82.57006572607393,2.0,4.0,14.822289218415792,0.6483697606118526,31.521100393572933,20.56938852122223,0.02286085829238599,20.77499419224443,20.052183597858694
2620,0.39722542787255577,20.825240368944403,67.13111931060396,41.081609085443404,82.60941472130469,2.0,4.0,14.82381088359985,0.6477899806758467,31.50614198011673,20.56075228394075,0.02288366804953358,20.825240368944403,20.103379431187065
2625,0.39722542787255577,20.825240368944403,67.13111931060396,41.081609085443404,82.60941472130469,2.0,4.0,14.82381088359985,0.6477899806758467,31.50614198011673,20.56075228394075,0.02288366804953358,20.825240368944403,20.103379431187065
2630,0.39573499105718213,20.87541858169682,67.22206427712578,41.1043654996412,82.64867568679854,2.0,4.0,14.82534332438828,0.6472134487374952,31.49121234228885,20.552192202151794,0.022906420367666564,20.87541858169682,20.154507934548505
2635,0.3942560929451133,20.925528810851652,67.312705694607,41.12704630155249,82.68784906677212,2.0,4.0,14.826886076595995,0.6466401278887761,31.47631144629037,20.54370725719152,0.022929115341178242,20.925528810851652,20.205569063715263
2640,0.3927886106172025,20.97557103823091,67.40304483165303,41.14965206358149,82.72693530021577,2.0,4.0,14.828438687111408,0.6460699818689003,31.46143926137249,20.535296446597332,0.02295175306584725,20.97557103823091,20.25656277619424
2645,0.3913324227985697,21.025545247112547,67.4930829519858,41.17218335312305,82.76593482097113,2.0,4.0,14.83000071366437,0.6455029750513175,31.446595759713276,20.52695878382745,0.022974333638795988,21.025545247112547,20.307489031208448
2650,0.3913324227985697,21.025545247112547,67.4930829519858,41.17218335312305,82.76593482097113,2.0,4.0,14.83000071366437,0.6455029750513175,31.446595759713276,20.52695878382745,0.022974333638795988,21.025545247112547,20.307489031208448
2655,0.38988740983216985,21.07545142221451,67.58282131444241,41.194640732607176,82.80484805780725,2.0,4.0,14.831571724598579,0.6449390724309862,31.4317809162976,20.518693297985568,0.022996857158449922,21.07545142221451,20.358347789678657
2660,0.38845345365309925,21.12528954967892,67.67226117297432,41.217024759543136,82.84367543449581,2.0,4.0,14.833151298648435,0.6443782396119044,31.416994708800246,20.510499033550367,0.023019323724497793,21.12528954967892,20.409139014205135
2665,0.3870304377633005,21.17505961705644,67.76140377664684,41.2393359865632,82.88241736988503,2.0,4.0,14.834739024720168,0.643820442794892,31.402237117472065,20.50237505010983,0.02304173343785266,21.17505961705644,20.459862669049684
